Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Industry,Edition,Category,Hierarchy level,Definition
,,,,
Snacks,2023,  Confectionery,1,"This is the aggregation of chocolate confectionery, sugar confectionery and gum. Note: Retail sales measurements are confined to packaged sales. However, exceptions are made to seasonal chocolate, where unpackaged/artisanal sales are included. Pick ‘n’ mix sales are also included. Finally sales from chocolatiers, typically displayed loose and later packed (usually in boxes) are also included."
Snacks,2023,    Chocolate Confectionery,2,"This is the aggregation of tablets, countlines, bagged selflines/softlines, boxed assortments, seasonal chocolate, chocolate with toys, alfajores and other chocolate confectionery. Note that chocolate overtly positioned for baking/cooking purposes is excluded from Euromonitor International's confectionery coverage."
Snacks,2023,      Chocolate Pouches and Bags,3,"These bagged products include either chocolate or sugar coated items with a solid centre that is usually chocolate or nut-based. In some cases, it may include other types of centre, eg honeycomb. This also includes all other selflines, many of which have liquid/soft centres, such as cream or caramel. Chocolate pouches and bags are typically distinguished by the fact that each piece is bite-sized (i.e., a single M&M, Malteser. Rolo, Hershey Kiss, etc.). Procucts are positioned as suitable for sharing and snacking and have low price points. The packaging is often flexible but can also be rigid. Note that products positioned as gift items typically sold at higher price points are included in boxed assortment. Soft candies with a chocolate centre and chocolate-coated candies are also included. Chocolate eggs are excluded. Leading global brands include M&M’s (Mars Inc), Hershey’s Kisses (Hershey Co, The), Cadbury’s Buttons (Mondelez International Inc), Maltesers (Mars Inc), Rolos (Nestlé SA)."
Snacks,2023,      Boxed Assortments,3,"Boxed assortments are typically premium priced compared to other chocolate confectionery and are positioned as suitable for gifting. Standard boxed assortments and twist wrapped miniatures are included. Standard boxed assortment includes assortments which are typically adult-orientated rather than being intended for children. Popular formats include picture boxes, liqueurs, pralines and bouchées. Also includes products where the chocolates contained therein are identical. Please note that jars and tins are also included, if meeting the product criteria detailed above. Likewise, products sold in paper bags can be included here if they are perceived to be equivalent to a traditional boxed assortment and/or the product belongs to a range/brand family that is generally considered a boxed assortment. For example, Nestlé's Caja Roja is available in a boxed and bagged format (see photo below). Leading global brands include Mon Chéri (Ferrero Group), Ferrero Rocher (Ferrero Group), Lindt (Chocoladefabriken Lindt & Sprüngli AG), Godiva (Yildiz Holding AS). Twist wrapped miniatures are derived from an existing brand whose format has been miniaturised and are typically individually wrapped (could be both twist wrapped or in flow-pack wrappers). Includes products containing both chocolate and sugar confectionery twist wrapped miniatures such as Nestle’s All Stars. Leading global brands include Mon Chéri (Ferrero Group), Ferrero Rocher (Ferrero Group), Lindt (Chocoladefabriken Lindt & Sprüngli AG), Godiva (Yildiz Holding AS), Celebrations (Mars Inc), Cadbury’s Heroes (Mondelez International Inc), Lindt Miniature (Chocoladefabriken Lindt & Sprüngli AG), Toblerone One by One (Mondelez International Inc), etc."
Snacks,2023,      Chocolate with Toys,3,"Includes chocolate confectionery items sold with a toy or a surprise included (oftentimes inside a hollow edible chocolate shell). These include chocolate eggs with gifts contained inside, for which Ferrero (Kinder Surprise) are renowned. Nestlé among others also have similar such products on the market. We also includes toys with chocolate sold inside eg M&M’s Surprise (Mars) here. Leading global brands include Kinder Surprise (Ferrero Group), Perugina (Nestlé SA), Cadbury Yowie’s (Mondelez International Inc)."
Snacks,2023,      Countlines,3,"Chocolate bars eaten as snacks. Many are filled and unsegmented (ie not pre-cut into smaller pieces/segments). Typical examples include Snickers and Mars. Countlines can be sold in a diversity of formats, including multipacks or mini-fun sizes that are not twist-wrapped and not sold in boxes. Miniaturised twist-wrapped versions of countline brands sold in a boxed assortment format should be included under boxed assortments. Other products in this category include wafer bars (typically KitKat), and cereal/muesli bars coated with chocolate (eg Afghans), as well as items such as Nutella and Go. However, cereal/muesli bars, which are nutritionally fortified and coated with chocolate will fall under snack bars (typically energy bars). Alfajores are excluded (see above). Countlines also includes any individually wrapped product that is packaged in single serve format so that it can be consumed within one sitting (e.g. Freddo’s, Bon o Bons). We exclude any individually wrapped products that are aimed at a seasonal market (e.g. Crème Eggs) – these would be counted as seasonal chocolate. Multiple individually wrapped products stored in boxes or pouches would be counted as boxed assortments or chocolate pouches and bags respectively. Similarly to KitKat, brand Hanuta (Ferrero) is included in this category and not in Wafers, as primarily positioned alongside other countlines and designed for impulse purchase. Brands of chocolate tablet bars that are mainly positioned and designed as a snack (examples: Kinder Maxi/Riegel and Kinder Country) are included. However, brands of chocolate tablet bars that are clearly positioned as tablets through their packaging (mainly sold in multiple quantities) and often through their placement in the store, such as Kinder Chocolate and Yogurette, are excluded and fall under tablets. Leading global brands include Snickers (Mars Inc), Reese’s (Hershey Co, The), Mars (Mars Inc), KitKat (Nestlé SA), Milky Way (Mars Inc), Cadbury’s Flake (Mondelez International Inc), Cadbury’s Wispa (Mondelez International Inc)."
Snacks,2023,      Seasonal Chocolate,3,"Seasonal products include chocolate eggs (mostly sold at Easter) which may be large, small or mini, filled or unfilled. Note unpackaged seasonal chocolate products are also included here. However, eggs with surprise (such as Kinder Surprise) are excluded – see below. Selection boxes and hollow moulded figures for Christmas as well as for other occasions (eg Easter, Halloween, Valentine’s Day, Mother’s Day, New Year’s etc) are also included. Easter eggs with toys are excluded and fall under chocolate with toys). Leading examples include Lindt Gold Bunny (Chocoladefabriken Lindt & Sprüngli AG), Lindt Golden Santa (Chocoladefabriken Lindt & Sprüngli AG), Cadbury’s Crème Egg (Mondelez International Inc) and Kinder Santa (Ferrero Group)."
Snacks,2023,      Tablets,3,"Moulded and segmented chocolate bars in a wide range of sizes ranging from bite-size to family bars. Some are filled with nuts and/or raisins and made of different types of chocolate ie white, milk and dark. Others are simply plain. Plain dark chocolate is made of cocoa powder, chocolate liquor, cocoa butter, and sugar. The higher the percentage of cocoa solids, the better the quality. Good quality dark chocolate contains at least 60 per cent to 70 per cent cocoa solids. This is the chocolate most often used for premium chocolate confections. Besides cocoa mass it contains added cocoa butter, sugar, vanilla and lecithin. Plain milk chocolate has milk added. It contains 30 per cent to 40 per cent cocoa solids, sugar and milk White chocolate is made of cocoa butter, milk, and sugar. Although it has a similar texture to chocolate and can be used in chocolate recipes, purists don't consider it to be chocolate because it does not contain cocoa solids. Because white chocolate has no cocoa solids from the chocolate liquor, regulatory institutions such as the US FDA (Food and Drug Administration) also do not classify it as chocolate. However, the organisation is currently working with chocolate manufacturers to establish a standard definition for white chocolate. Tablets in a linear segmented countline format are included eg Cadbury’s Dairy Milk (Mondelez), Galaxy (Mars) or Toblerone (Mondelez) because they are pre-cut (or moulded) into individual bite-sized segments. Miniaturised twist-wrapped versions of tablet brands sold in multipack assortments (typically boxed) format should be included boxed assortments (ie, Toblerone One by One). However, non-twist wrapped mini versions (such as the Toblerone product immediately below) should still be captured under tablets. Leading global brands include Milka (Mondelez International Inc), Toblerone (Mondelez International Inc) Cadbury’s Dairy Milk (Mondelez International Inc), Ritter Sport (Ritter GmbH & Co KG, Alfred), Hershey’s Milk Chocolate (Hershey Co, The), Côte d’Or (Mondelez International Inc), Lindt Excellence (Chocoladefabriken Lindt & Sprüngli AG). Tablet formats that are a smaller version of a standard tablet product, typically positioned for impulse purchase, are included in this category. Example: Green & Black’s 35 g. Brands of chocolate tablet bars that are clearly positioned as tablets through their packaging (mainly sold in multiple quantities) and often through their placement in the store, such as Kinder Chocolate and Yogurette, are also included here. However, if a brand of chocolate tablet bars is mainly positioned and designed as a snack (examples: Kinder Maxi/Riegel and Kinder Country) then it falls under Countlines. Tablets positioned as for baking/cooking and placed in the aisle as such, are excluded."
